steam_id_hash,leetify_id,privacy_mode,winrate,total_matches,first_match_date,rank_leetify,rank_premier,rank_faceit,rank_faceit_elo,rank_wingman,rating_aim,rating_positioning,rating_utility,rating_clutch,rating_opening,rating_ct_leetify,rating_t_leetify,stat_accuracy_head,stat_accuracy_enemy_spotted,stat_preaim,stat_reaction_time_ms,stat_spray_accuracy,stat_counter_strafing_good_shots_ratio,stat_ct_opening_aggression_success_rate,stat_ct_opening_duel_success_percentage,stat_t_opening_aggression_success_rate,stat_t_opening_duel_success_percentage,stat_traded_deaths_success_percentage,stat_trade_kill_opportunities_per_round,stat_trade_kills_success_percentage,stat_he_foes_damage_avg,stat_flashbang_thrown,stat_flashbang_leading_to_kill,stat_utility_on_death_avg,recent_matches_count,ban_count
f4736046ce472f68,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e77e458fbb067e85,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8d82108afc4dba0d,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33a961830fdb0a42,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd88e4c3eadf458b,5c735008-d896-47bc-bb0e-b6fd0195ab06,public,0.5,203,2020-06-08T00:25:07.000Z,-2.92,15358,,,17,39.7432,27.7595,64.4106,0.1106,-0.0438,-0.0246,-0.0336,18.7485,28.9375,11.4194,791.1081,31.8538,84.1366,22.6153,34.4597,3.9214,34.6872,49.5728,0.2416,31.928,5.8521,10.2576,3.3635,309.372,100,0
74e36e2b5727fb11,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabe3d42ffd6b4d6,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff35e97acdbaee24,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb3a306c7375fff8,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03bb56b8b0de5df7,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f873ef823039d290,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e197d475ee4dcbf,1ec8a8f2-8244-4eb1-981a-6ffe43ef0410,public,0.3214,2061,2020-02-14T20:36:19.000Z,-1.4500000000000002,20876,6,1239,14,50,45.2242,59.5097,0.0873,-0.0174,-0.0262,-0.0018,13.9817,31.0934,9.1698,626.5607,32.2883,73.4786,32.892,39.0447,23.0894,32.2793,46.9012,0.3517,40.8799,8.7499,10.0794,9.1872,244.2259,100,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5f888e46e76d028,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5456b65f6b336b2,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f05df0ac967689a3,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771b276a5cc02f0b,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647c396ee3bcb2f2,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353d8e876ea51c20,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66b97e701b7f6bee,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d08037e2fb6fec00,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08c797a3961d79b6,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cc27f344ce169867,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a37dc840d642da2,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3d21595892caa5b,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627b6b51bb20f828,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d1343a131a35140,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50e246fa90f2c332,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4516713be68c770,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b5520dafab4caf8,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92dd56cc4ca4ae72,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7bb2ea3855219410,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747218cd3302997a,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ba8fe3673a38b94a,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a12b702e3ecebffa,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f184a7ecc33f81e0,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d854e6fa1eef358c,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548b2dced43c5eec,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794dae5c90a79829,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12c412c7d84b23d7,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8545238b8b45671c,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc1882efe399abef,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4b553085307840c4,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0be8af594161805a,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d133e446ebbfe71,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2cbc3aaecae95156,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9e5814371036bb5,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8f578011f79f2f51,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef59377be8ac0346,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dfbc641df53dc586,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2c8e450653ce294,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448f270506827b58,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70fc7df5ac233c43,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10b43e83ea5c928f,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64d83aa42baa0d6a,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ba5b21b461885b5,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427b787922775795,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be0910d999f2b261,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
063b2443e7002c2c,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514dadce62a47566,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ee15ff53e2a0349,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bfb2b096d3f5148,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc42ca342850ff66,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92abd7769b07efc4,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2e8596705788797e,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a09c89303c8b97cc,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b3d2873337c2edf,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6e5f6dfcf60fb9bb,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce6c76b1d74d1e17,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142f12b0a51506ea,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837aeada73724d32,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6a9b8bde34fc3964,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22d6efdf391e67aa,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45e0de5d31f2d499,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a613e3b74e85ee44,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8375459735539082,,not_found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
