steam_id_hash,degree,clustering,betweenness,in_largest_component,inventory_log,cs2_hours,country
3b5e1b9c92ddca64,77,0.01161995898838004,0.8565478694111711,True,3.6470152500152375,7792.3,BR
8fff39ac92ec5356,22,0.09523809523809523,0.027636045569593568,True,2.823757008814181,2581.3166666666666,BR
35873c07871f095a,156,0.001488833746898263,0.3503227204099615,True,5.442763970913065,6381.916666666667,BR
14976a4b29dcf197,27,0.0,0.07606208323878316,True,0.0,711.0166666666667,BR
7d49a5499071f3be,114,0.0,0.281291095150738,True,3.9345669698630408,1676.5,BR
77f754fed7cd9324,39,0.0,0.10314489825489997,True,6.610171007852149,531.2833333333333,BR
7d36a6fa1442a126,125,0.0,0.32512227729674903,True,7.578084089461402,1341.5,BR
5718e71ac51d0950,89,0.0,0.21195916161563688,True,4.3891263717891045,5349.3,BR
1f2fa9f846f1d13d,103,0.0003807348181991243,0.24056766366939145,True,5.148714662316808,6831.2,
c67cbc564e61ace2,2,1.0,0.0,True,5.645976792559814,5615.3,BR
62f11983b4e1c10b,2,1.0,0.0,True,0.0,3261.7166666666667,BR
aa4ad881c6bfd19b,1,0.0,0.0,True,0.0,1310.2666666666669,BR
1372cd49c1e845ba,2,0.0,0.0005522641463007871,True,0.0,7769.8,BR
679870bff09ff003,1,0.0,0.0,True,0.0,1748.35,FR
c8ed43d93fc14ceb,2,1.0,0.0,True,0.0,1476.1833333333334,BR
9c9c23fd645d3f08,6,0.2,0.002675308990668239,True,3.7984062786411785,2596.65,BR
5af4dd6e022efef1,1,0.0,0.0,True,4.587413464398832,3651.933333333333,BR
64f8b6b9283a36b8,2,0.0,0.001428740336516598,True,2.385086314505789,818.9833333333333,IT
68687701c89e80df,7,0.14285714285714285,0.003573668850476493,True,0.5187937934151675,551.0166666666667,BR
e147f35550f5e36f,8,0.39285714285714285,0.0009687120319025338,True,0.5822156198526637,1935.0333333333333,BR
4aea141d331a19a8,2,0.0,0.0009955260755633584,True,0.0769610411361283,1023.7166666666668,BR
192d58842ad51c29,2,1.0,0.0,True,1.983756291545428,0.0,BR
4108d4591fed6e67,2,1.0,0.0,True,0.8372475245337022,3289.35,BR
d6465c323240b7a3,5,0.6,0.0005732507046184876,True,1.4422019930581866,0.0,BR
eb67dd75d321a5d3,3,0.3333333333333333,0.0014340154615734427,True,0.0,274.6,BR
82836e1a3e574a7a,1,0.0,0.0,True,0.0,610.4833333333333,BR
187eaab3e7cafe9f,3,1.0,0.0,True,0.0,0.0,CH
28ff46f7afafc92d,3,1.0,0.0,True,0.0,396.8833333333333,DE
fdbfbfbb99ed3366,2,0.0,0.0014856907995162674,True,3.1540172525197043,0.0,BR
9c62e5e91d025181,1,0.0,0.0,True,1.3887912413184778,0.0,
d8f6eb6be9a405c0,1,0.0,0.0,True,3.963286299365688,3102.383333333333,BR
6f83626432d7a553,1,0.0,0.0,True,0.4054651081081644,873.35,BR
641d265d4f8a65d0,2,1.0,0.0,True,1.7387102481382395,579.4,
fd92cbb09bf580ed,4,1.0,0.0,True,0.4252677354043441,0.0,
6f469801fe0ca5b7,1,0.0,0.0,True,2.189416394888408,1752.0166666666669,
8edfad809fc45ab5,2,1.0,0.0,True,0.0,1.4166666666666667,BR
9629f76dff3574ca,6,0.4,0.0009786274696723057,True,3.900557527318868,3976.9,BR
42c838519725bfbc,1,0.0,0.0,True,0.9321640810304452,1887.8666666666663,BR
40e63515cc8ebe6f,1,0.0,0.0,True,0.0,1297.8166666666666,BR
869df82677b8637b,2,1.0,0.0,True,0.0,1782.85,BR
1aa213f391042708,1,0.0,0.0,True,0.0,1407.9833333333331,BR
f4736046ce472f68,3,1.0,0.0,True,0.0,2582.55,BR
e77e458fbb067e85,2,1.0,0.0,True,2.612273245708441,688.9166666666666,BR
90e6cc91f738f8d3,1,0.0,0.0,True,0.5653138090500605,2573.133333333333,
8d82108afc4dba0d,1,0.0,0.0,True,5.862778539479937,4152.366666666667,CC
