market_hash_name,price_usd,volume,source
Sealed Graffiti | Lambda (Monster Purple),0.04,41,steam_market
Sealed Graffiti | Toasted (Tiger Orange),0.04,89,steam_market
Sealed Graffiti | Speechless (Blood Red),0.05,42,steam_market
Sealed Graffiti | Rage Mode (Shark White),0.04,10,steam_market
Sealed Graffiti | GTG (Battle Green),0.04,7,steam_market
Sealed Graffiti | Still Happy (Battle Green),0.05,35,steam_market
Sealed Graffiti | Quickdraw (Violent Violet),0.05,17,steam_market
Sealed Graffiti | GGEZ (Tiger Orange),0.04,11,steam_market
Sealed Graffiti | Tilt (Desert Amber),0.04,11,steam_market
Sealed Graffiti | Lambda (Cash Green),0.04,24,steam_market
Sealed Graffiti | Backstab (Wire Blue),0.04,59,steam_market
Sealed Graffiti | King Me (Jungle Green),0.05,21,steam_market
Sealed Graffiti | Rage Mode (Brick Red),0.04,39,steam_market
PP-Bizon | Thermal Currents (Field-Tested),0.03,819,steam_market
P2000 | Marsh (Minimal Wear),0.14,397,steam_market
Tec-9 | Slag (Field-Tested),0.12,1024,steam_market
Galil AR | Crimson Tsunami (Minimal Wear),5.55,40,steam_market
PP-Bizon | Space Cat (Minimal Wear),1.2,318,steam_market
M249 | Downtown (Field-Tested),0.74,582,steam_market
MP7 | Just Smile (Well-Worn),0.64,343,steam_market
Patch | Bravo,0.21,71,steam_market
M4A4 | Steel Work (Field-Tested),0.06,968,steam_market
StatTrak™ XM1014 | Irezumi (Minimal Wear),0.31,132,steam_market
M4A1-S | Liquidation (Minimal Wear),7.54,278,steam_market
Sticker | paiN Gaming | Budapest 2025,0.03,9,steam_market
Sticker | Vitality | Budapest 2025,0.03,63,steam_market
Sticker | paiN Gaming (Embroidered) | Budapest 2025,0.03,37,steam_market
Sticker | FalleN | Austin 2025,0.42,74,steam_market
Sticker | FalleN | Copenhagen 2024,0.48,42,steam_market
XM1014 | Irezumi (Minimal Wear),0.26,674,steam_market
StatTrak™ Dual Berettas | Flora Carnivora (Well-Worn),0.92,50,steam_market
StatTrak™ M249 | Aztec (Battle-Scarred),1.58,0,steam_market
★ Shadow Daggers | Rust Coat (Battle-Scarred),64.07,23,steam_market
AWP | Phobos (Factory New),10.65,40,steam_market
XM1014 | Blue Steel (Field-Tested),0.08,125,steam_market
Sticker | Kyojin | Stockholm 2021,0.03,59,steam_market
Sticker | Fade Lethal,1.24,0,steam_market
FAMAS | Mecha Industries (Field-Tested),48.69,21,steam_market
StatTrak™ Glock-18 | Off World (Field-Tested),0.77,76,steam_market
Sticker | Spirit | 2020 RMR,0.09,665,steam_market
Sticker | Boom | 2020 RMR,0.04,171,steam_market
Sticker | Virtus.pro | 2020 RMR,0.05,305,steam_market
Sticker | Gen.G | 2020 RMR,0.03,71,steam_market
Sticker | ESPADA | 2020 RMR,0.03,45,steam_market
Sticker | North | 2020 RMR,0.04,327,steam_market
Sticker | ESPADA (Holo) | 2020 RMR,0.23,87,steam_market
Sticker | Renegades | 2020 RMR,0.04,152,steam_market
Sticker | Renegades (Holo) | 2020 RMR,0.43,79,steam_market
Sticker | Virtus.pro (Holo) | 2020 RMR,0.34,41,steam_market
Sticker | Gen.G (Holo) | 2020 RMR,0.23,19,steam_market
Sticker | North (Holo) | 2020 RMR,0.62,54,steam_market
Sticker | TYLOO | 2020 RMR,0.12,216,steam_market
Sticker | FaZe (Holo) | 2020 RMR,0.96,54,steam_market
Sticker | Boom (Holo) | 2020 RMR,0.53,91,steam_market
StatTrak™ Desert Eagle | Oxide Blaze (Field-Tested),1.34,75,steam_market
StatTrak™ Tec-9 | Flash Out (Minimal Wear),0.95,15,steam_market
StatTrak™ P250 | Wingshot (Well-Worn),4.3,2,steam_market
StatTrak™ SSG 08 | Abyss (Field-Tested),1.35,54,steam_market
Souvenir XM1014 | Urban Perforated (Minimal Wear),0.62,9,steam_market
Souvenir PP-Bizon | Carbon Fiber (Factory New),1.32,8,steam_market
Souvenir MP5-SD | Dirt Drop (Well-Worn),0.06,9,steam_market
Souvenir UMP-45 | Mudder (Battle-Scarred),0.04,8,steam_market
Souvenir Nova | Mandrel (Field-Tested),0.04,28,steam_market
StatTrak™ MAG-7 | SWAG-7 (Field-Tested),1.41,34,steam_market
Souvenir G3SG1 | Safari Mesh (Field-Tested),0.34,3,steam_market
FAMAS | Grey Ghost (Field-Tested),0.07,771,steam_market
StatTrak™ P2000 | Ivory (Minimal Wear),1.24,13,steam_market
Sealed Graffiti | Ninja (Blood Red),0.05,31,steam_market
'Medium Rare' Crasswater | Guerrilla Warfare,53.21,14,steam_market
Sealed Graffiti | Keep the Change (Battle Green),0.04,75,steam_market
Sealed Graffiti | Sorry (Battle Green),0.05,40,steam_market
M4A1-S | Solitude (Field-Tested),2.95,1246,steam_market
Lt. Commander Ricksaw | NSWC SEAL,42.0,67,steam_market
Glock-18 | Vogue (Minimal Wear),8.63,152,steam_market
AK-47 | Wasteland Rebel (Field-Tested),116.53,9,steam_market
AWP | Atheris (Minimal Wear),11.97,207,steam_market
MAC-10 | Candy Apple (Minimal Wear),0.28,336,steam_market
P250 | Sand Dune (Factory New),3.45,35,steam_market
StatTrak™ Desert Eagle | Light Rail (Field-Tested),6.07,91,steam_market
"Music Kit | Daniel Sadowski, Total Domination",5.37,13,steam_market
Souvenir MP9 | Storm (Field-Tested),0.4,75,steam_market
StatTrak™ Galil AR | Firefight (Field-Tested),2.69,17,steam_market
CZ75-Auto | Honey Paisley (Factory New),0.11,884,steam_market
Sealed Dead Hand Terminal,3.39,91315,steam_market
R8 Revolver | Mauve Aside (Field-Tested),0.03,1030,steam_market
P250 | Sedimentary (Field-Tested),0.07,954,steam_market
Glock-18 | Ocean Topo (Factory New),0.89,452,steam_market
M4A1-S | Glitched Paint (Field-Tested),3.22,337,steam_market
M4A4 | Evil Daimyo (Field-Tested),4.9,170,steam_market
USP-S | Lead Conduit (Well-Worn),0.93,58,steam_market
AK-47 | Elite Build (Battle-Scarred),2.24,282,steam_market
AUG | Commando Company (Minimal Wear),0.03,299,steam_market
R8 Revolver | Leafhopper (Field-Tested),0.07,532,steam_market
SSG 08 | Hand Brake (Minimal Wear),2.71,61,steam_market
Desert Eagle | Mecha Industries (Battle-Scarred),7.84,60,steam_market
MAG-7 | MAGnitude (Minimal Wear),0.37,273,steam_market
StatTrak™ P250 | Cassette (Field-Tested),0.16,150,steam_market
MP9 | Ruby Poison Dart (Minimal Wear),3.46,64,steam_market
StatTrak™ M4A1-S | Night Terror (Field-Tested),2.99,455,steam_market
Dual Berettas | Hydro Strike (Minimal Wear),3.75,45,steam_market
MP7 | Motherboard (Minimal Wear),0.1,221,steam_market
AWP | Acheron (Field-Tested),1.05,845,steam_market
Five-SeveN | Orange Peel (Field-Tested),0.06,350,steam_market
Glock-18 | Umbral Rabbit (Minimal Wear),1.3,453,steam_market
Five-SeveN | Scumbria (Battle-Scarred),0.29,23,steam_market
MAC-10 | Oceanic (Field-Tested),0.35,195,steam_market
Souvenir AUG | Sweeper (Battle-Scarred),0.06,6,steam_market
M4A4 | Aeolian Dark (Field-Tested),0.06,830,steam_market
M4A4 | Steel Work (Minimal Wear),0.12,585,steam_market
SCAR-20 | Zinc (Field-Tested),0.03,50,steam_market
R8 Revolver | Leafhopper (Battle-Scarred),0.07,92,steam_market
PP-Bizon | Bizoom (Field-Tested),0.03,85,steam_market
Five-SeveN | Autumn Thicket (Battle-Scarred),0.03,52,steam_market
Dual Berettas | BorDeux (Minimal Wear),0.03,384,steam_market
SCAR-20 | Zinc (Factory New),0.08,467,steam_market
SSG 08 | Grey Smoke (Minimal Wear),0.03,427,steam_market
MP5-SD | Lime Hex (Battle-Scarred),0.03,13,steam_market
FAMAS | Byproduct (Field-Tested),0.03,137,steam_market
Nova | Currents (Field-Tested),0.03,30,steam_market
MAC-10 | Bronzer (Field-Tested),0.03,220,steam_market
FAMAS | Palm (Well-Worn),0.04,28,steam_market
P250 | Copper Oxide (Minimal Wear),0.04,323,steam_market
Dual Berettas | BorDeux (Factory New),0.14,216,steam_market
Tec-9 | Raw Ceramic (Field-Tested),0.03,127,steam_market
Tec-9 | Raw Ceramic (Well-Worn),0.04,17,steam_market
Galil AR | Grey Smoke (Battle-Scarred),0.03,72,steam_market
P90 | Blue Tac (Minimal Wear),0.03,144,steam_market
Nova | Predator (Minimal Wear),0.13,239,steam_market
R8 Revolver | Nitro (Field-Tested),0.16,765,steam_market
Dual Berettas | Polished Malachite (Field-Tested),0.08,742,steam_market
P250 | Facility Draft (Minimal Wear),0.04,98,steam_market
PP-Bizon | Facility Sketch (Field-Tested),0.04,235,steam_market
MAC-10 | Poplar Thicket (Field-Tested),0.17,330,steam_market
Five-SeveN | Coolant (Minimal Wear),0.04,204,steam_market
MP9 | Orange Peel (Minimal Wear),0.26,115,steam_market
MP9 | Buff Blue (Battle-Scarred),0.03,187,steam_market
Tec-9 | Blue Blast (Field-Tested),0.03,486,steam_market
MP7 | Army Recon (Minimal Wear),0.07,150,steam_market
MAC-10 | Storm Camo (Well-Worn),0.04,39,steam_market
P2000 | Marsh (Field-Tested),0.06,515,steam_market
Five-SeveN | Autumn Thicket (Minimal Wear),0.03,203,steam_market
AUG | Commando Company (Field-Tested),0.04,172,steam_market
UMP-45 | Gunsmoke (Field-Tested),0.18,158,steam_market
P250 | Facility Draft (Factory New),0.13,424,steam_market
Five-SeveN | Forest Night (Well-Worn),0.05,17,steam_market
UMP-45 | Mudder (Well-Worn),0.03,72,steam_market
Galil AR | Sage Spray (Battle-Scarred),0.04,68,steam_market
UMP-45 | Facility Dark (Well-Worn),0.04,20,steam_market
G3SG1 | Polar Camo (Field-Tested),0.03,43,steam_market
SSG 08 | Blue Spruce (Field-Tested),0.04,292,steam_market
Glock-18 | High Beam (Factory New),0.28,1797,steam_market
PP-Bizon | Sand Dashed (Minimal Wear),0.08,92,steam_market
Galil AR | Sage Spray (Field-Tested),0.04,250,steam_market
Five-SeveN | Coolant (Well-Worn),0.04,39,steam_market
XM1014 | Blue Spruce (Well-Worn),0.04,32,steam_market
G3SG1 | Polar Camo (Minimal Wear),0.11,121,steam_market
StatTrak™ Five-SeveN | Scumbria (Field-Tested),0.34,20,steam_market
StatTrak™ MAC-10 | Carnivore (Minimal Wear),1.33,14,steam_market
Sealed Graffiti | Toasted (Monster Purple),0.04,51,steam_market
Sealed Graffiti | Eye Spy (Tiger Orange),0.04,13,steam_market
Sealed Graffiti | Chess King (Violent Violet),0.04,14,steam_market
Sealed Graffiti | Take Flight (Tracer Yellow),0.04,19,steam_market
Sealed Graffiti | Eye Spy (Frog Green),0.04,84,steam_market
Sealed Graffiti | Mr. Teeth (Cash Green),0.05,49,steam_market
