variable,label,n,pearson_r,pearson_p,spearman_r,spearman_p
cs2_hours,CS2 hours played,204,0.18453343710383022,0.0082369546660265,0.14270920805394025,0.0417298628538123
steam_level,Steam level,204,0.0017166181967944313,0.9805594158797595,-0.07183760258742429,0.3072254431567967
player_xp,Player XP (Steam),204,0.029468290328503392,0.6756576344689391,-0.07243831426182,0.3031875722839875
badges_count,Badges count,204,-0.01090200467142944,0.8770108786409007,-0.1256813095658427,0.07326654736385196
friends_count,Friends count,204,0.14432628745989085,0.039444432874116066,0.14963957842929318,0.03266393730363922
account_age_years,Account age (years),204,0.23764369302353672,0.0006203972098108764,0.1620070372419114,0.02061188491738296
number_of_vac_bans,VAC bans count,204,0.12459797502378224,0.07579798113549385,0.1261702546715971,0.07214672868201408
