variable,label,n,coef_inventory_log,p_value,ci_low,ci_high,r2_adj,p_bonferroni,p_fdr_bh
cs2_hours,CS2 hours played,204,240.53549497962842,0.015525820132110488,46.208110427984934,434.8628795312719,0.04540824856190062,0.10868074092477342,0.05434037046238671
steam_level,Steam level,204,-0.9998403914470855,0.27590695057161047,-2.804413731162078,0.8047329482679066,0.05782138914603452,1.0,0.3862697308002546
player_xp,Player XP (Steam),204,473.41933174690564,0.12541849685376696,-133.2253115659671,1080.0639750597784,0.7998786060022471,0.8779294779763688,0.2194823694940922
badges_count,Badges count,204,-0.2465468336499585,0.6693732581664806,-1.3834281452444337,0.8903344779445166,0.5091717811612557,1.0,0.6693732581664806
friends_count,Friends count,204,3.1492429158766635,0.49478538636621966,-5.9302585451174386,12.228744376870765,0.12154496877972665,1.0,0.5772496174272563
account_age_years,Account age (years),204,0.583619703815352,0.0009186703562796546,0.2415820222035035,0.9256573854272006,0.09517912178893384,0.0064306924939575814,0.006430692493957582
number_of_vac_bans,VAC bans count,204,0.026885661817908593,0.033981884833770216,0.002053452730527667,0.05171787090528952,0.04054542432773112,0.23787319383639152,0.07929106461213051
