,PC1,PC2,PC3,PC4,PC5,PC6
cs2_hours,0.18194200387715023,0.5179416244008135,-0.678196388871907,-0.488488746299139,0.0054162806435189195,-0.005713816798394368
account_age_years,0.24012503265986074,0.4222965317683567,0.7294584527480206,-0.4761158563262877,-0.0698682761886937,-0.01811322715829445
steam_level,0.603756530928691,-0.1747883863307892,-0.03676055925791072,0.08040490471298017,-0.1113987480070927,0.7646575069195525
player_xp,0.5308164042057925,-0.2481645448008379,-0.07477184961919031,0.03867030564023816,-0.5728175032175613,-0.566958719576338
badges_count,0.48907156821784104,-0.12527373577789228,0.011398692192822829,0.045985712820964544,0.8074651990332092,-0.3014478871514826
friends_count,0.15413654162201396,0.6675117847659223,0.02946057432286797,0.7243047763682883,-0.050591176965178536,-0.05123613997313568
