,cs2_hours,account_age_years,steam_level,player_xp,badges_count,friends_count,inventory_log
cs2_hours,1.0,0.12206089054427244,0.1529219711030139,0.10318281758873127,0.11981109699839905,0.28531737393614903,0.1878496266349908
account_age_years,0.12206089054427244,1.0,0.2240483932373218,0.14610429484800472,0.1881585590858545,0.26691916310621394,0.2414440807562492
steam_level,0.1529219711030139,0.2240483932373218,1.0,0.8930766245332027,0.7194304385285033,0.11834415504259765,0.006800684025326101
player_xp,0.10318281758873127,0.14610429484800472,0.8930766245332027,1.0,0.4454476616380495,0.019590972576776392,0.03204698764489027
badges_count,0.11981109699839905,0.1881585590858545,0.7194304385285033,0.4454476616380495,1.0,0.0787030615950313,-0.0048920857427424335
friends_count,0.28531737393614903,0.26691916310621394,0.11834415504259765,0.019590972576776392,0.0787030615950313,1.0,0.1512955751033455
inventory_log,0.1878496266349908,0.2414440807562492,0.006800684025326101,0.03204698764489027,-0.0048920857427424335,0.1512955751033455,1.0
