variable,label,n_banned,n_clean,mean_banned,mean_clean,t_stat,p_value,cohen_d
cs2_hours,CS2 hours played,68,667,1189.9551470588237,2395.735157421289,-6.812412977874787,2.8910696474068774e-10,-0.610573448173428
account_age_years,Account age (years),68,667,11.106470291932428,11.823006520033005,-1.5644436767956311,0.12131736010558448,-0.18449296231168902
steam_level,Steam level,68,667,17.5,21.28335832083958,-1.875429522554621,0.06327174422741774,-0.1822013953109175
badges_count,Badges count,68,667,11.485294117647058,20.36581709145427,-2.6433460261764385,0.008404428188573418,-0.15879031298641333
friends_count,Friends count,68,667,119.82352941176471,146.34182908545728,-2.505390616918912,0.013913273205252843,-0.2734764544756657
total_games_owned,Total games owned,68,667,64.94117647058823,84.48425787106447,-1.736559824102048,0.0850651218036554,-0.16594399808171917
total_usd,Inventory value (USD),27,191,32.04222222222222,39.64062827225131,-0.534981345623477,0.5934706812628794,-0.06518184417369574
inventory_log,log(Inventory + 1),68,667,1.0259717418818974,0.6017974095117327,2.1165470182484283,0.03757522726917903,0.2929445206236248
